"Time(s)"," X"," Y"," Z"
"1418209705.121","864","176","-712"
"1418209705.206","640","-56","-664"
"1418209705.287","776","112","-520"
"1418209705.370","952","160","-384"
"1418209705.453","840","128","-664"
"1418209705.539","640","-72","-608"
"1418209705.619","736","-8","-528"
"1418209705.703","968","200","-384"
"1418209705.786","800","104","-752"
"1418209705.869","640","-112","-624"
"1418209705.952","824","96","-552"
"1418209706.035","936","208","-528"
"1418209706.119","680","-72","-768"
"1418209706.201","672","-8","-616"
"1418209706.284","912","224","-480"
"1418209706.367","808","144","-664"
"1418209706.533","792","72","-552"
"1418209706.616","952","256","-560"
"1418209706.699","696","-72","-736"
"1418209706.783","696","-8","-640"
"1418209708.586","728","-24","-768"
"1418209708.693","632","-104","-680"
"1418209708.775","896","216","-440"
"1418209708.859","800","104","-696"
"1418209708.942","680","0","-688"
"1418209709.025","824","104","-520"
"1418209709.108","896","248","-496"
"1418209709.191","656","-48","-696"
"1418209709.274","656","-32","-688"
"1418209709.357","912","248","-552"
"1418209709.440","840","184","-672"
"1418209709.523","656","-40","-664"
"1418209709.609","720","96","-672"
"1418209709.689","872","128","-600"
"1418209709.772","784","112","-744"
"1418209709.855","720","0","-624"
"1418209709.938","768","112","-592"
"1418209710.021","824","128","-624"
"1418209710.271","712","-16","-656"
"1418209710.360","816","120","-664"
"1418209710.437","872","216","-632"
"1418209710.520","672","-24","-648"
"1418209710.603","784","160","-504"
"1418209710.686","960","216","-336"
"1418209710.769","688","16","-840"
"1418209710.852","744","-144","-472"
"1418209710.935","832","0","-576"
"1418209711.018","688","-88","-832"
"1418209711.101","792","24","-472"
"1418209711.184","888","16","-592"
"1418209711.269","696","-8","-808"
"1418209711.350","864","72","-368"
"1418209711.433","768","16","-648"
"1418209711.516","736","40","-600"
"1418209711.602","760","-16","-648"
"1418209711.683","752","72","-440"
"1418209711.766","768","48","-576"
"1418209711.849","888","120","-1088"
"1418209711.932","896","160","-784"
"1418209712.015","672","64","-720"
"1418209712.192","832","136","-632"
"1418209712.264","624","24","-760"
"1418209712.350","840","112","-424"
"1418209712.431","768","0","-704"
"1418209712.514","728","-112","-584"
"1418209712.597","784","280","-872"
"1418209712.680","712","16","-664"
"1418209712.763","752","-8","-816"
"1418209712.846","728","224","-712"
"1418209712.929","776","-128","-464"
"1418209713.012","680","232","-776"
"1418209713.096","784","0","-472"
