"Time(s)"," X"," Y"," Z"
"1418282943.651","224","-312","-976"
"1418282943.735","760","392","-896"
"1418282943.806","40","-320","-704"
"1418282943.890","552","-112","-1112"
"1418282943.972","720","16","-672"
"1418282944.055","40","-176","-728"
"1418282944.139","976","576","-1304"
"1418282944.222","416","-80","-640"
"1418282944.305","56","-48","-752"
"1418282944.388","992","416","-1168"
"1418282944.473","136","-304","-544"
"1418282944.554","648","0","-1064"
"1418282944.637","704","-80","-896"
"1418282944.720","-16","-384","-424"
"1418282944.803","1032","832","-1032"
"1418282944.886","424","168","-400"
"1418282944.969","752","920","-736"
"1418282945.053","328","24","-384"
"1418282945.136","504","544","-816"
"1418282945.219","856","1072","-760"
"1418282945.302","328","392","-176"
"1418282945.385","800","856","-520"
"1418282945.468","656","552","-672"
"1418282945.551","328","376","-560"
"1418282945.634","856","1192","-200"
"1418282945.717","424","120","-952"
"1418282945.800","464","1136","272"
"1418282945.884","440","648","-264"
"1418282945.967","448","560","-744"
"1418282946.050","488","1192","-224"
"1418282946.133","280","96","-704"
"1418282946.216","480","1120","-112"
"1418282946.299","400","784","32"
"1418282946.382","224","408","-872"
"1418282946.465","480","1752","264"
"1418282946.548","376","504","-512"
"1418282946.631","328","528","-776"
"1418282946.714","568","1088","120"
"1418282946.797","312","0","-920"
"1418282946.880","432","1136","-360"
"1418282946.964","440","1040","-80"
"1418282947.047","304","288","-816"
"1418282947.130","536","1536","160"
"1418282947.213","416","704","-328"
"1418282947.296","344","248","-744"
"1418282947.379","616","1448","88"
"1418282947.462","360","216","-552"
"1418282947.545","344","560","-808"
"1418282947.628","584","1136","-96"
"1418282947.711","272","120","-792"
"1418282947.794","376","936","144"
"1418282947.877","384","832","-384"
"1418282947.960","344","960","-256"
"1418282948.043","280","1040","-256"
"1418282948.127","272","1208","-224"
"1418282948.210","256","1024","-32"
"1418282948.296","192","920","-72"
"1418282948.376","312","952","-80"
"1418282949.149","472","856","176"
"1418282949.290","496","920","56"
