"Time(s)"," X"," Y"," Z"
"1418282867.079","-816","536","-544"
"1418282867.326","-816","536","-552"
"1418282867.411","-792","352","-576"
"1418282867.493","-712","384","-456"
"1418282867.859","-704","664","-504"
"1418282867.991","-704","496","-464"
"1418282868.082","-728","392","-432"
"1418282868.241","-968","232","-480"
"1418282868.325","-1008","192","-488"
"1418282868.407","-1008","200","-448"
"1418282868.573","-960","128","-408"
"1418282868.659","-944","120","-368"
"1418282868.740","-968","120","-344"
"1418282868.823","-1008","128","-352"
"1418282868.989","-1016","176","-400"
"1418282869.072","-944","176","-528"
"1418282869.155","-824","200","-672"
"1418282869.241","-648","248","-480"
"1418282869.322","-696","168","-584"
"1418282869.407","-856","200","-688"
"1418282869.488","-984","224","-296"
"1418282869.571","-936","160","-856"
"1418282869.654","-936","112","-424"
"1418282869.737","-912","104","-304"
"1418282869.828","-952","144","-416"
"1418282869.903","-896","192","-568"
"1418282869.990","-832","168","-488"
"1418282870.070","-848","176","-480"
"1418282870.158","-888","152","-504"
"1418282870.236","-880","152","-488"
"1418282870.319","-880","72","-464"
"1418282870.402","-848","72","-544"
"1418282870.485","-744","40","-600"
"1418282870.568","-664","32","-552"
"1418282870.651","-648","72","-408"
"1418282870.740","-736","112","-296"
"1418282870.907","-1064","80","-256"
"1418282870.984","-1152","48","-304"
"1418282871.067","-1128","-40","-488"
"1418282871.150","-1096","-24","-320"
"1418282871.233","-1128","24","-424"
"1418282871.316","-1016","40","-424"
"1418282871.399","-824","24","-352"
"1418282871.482","-752","232","-264"
"1418282871.566","-808","296","-352"
"1418282871.650","-888","352","-376"
"1418282871.732","-960","360","-328"
"1418282871.815","-968","296","-344"
"1418282871.898","-976","256","-304"
"1418282873.704","-240","616","-616"
"1418282873.809","-904","912","8"
"1418282873.893","-832","816","-48"
"1418282873.976","-776","808","-88"
"1418282874.308","-688","736","-8"
"1418282874.391","-720","768","-96"
"1418282874.474","-664","768","120"
"1418282874.558","-672","824","-24"
"1418282874.641","-656","784","-56"
"1418282874.724","-648","800","8"
"1418282874.807","-696","808","8"
"1418282874.890","-656","784","-8"
"1418282874.977","-664","848","48"
"1418282875.056","-672","856","-24"
"1418282875.139","-656","720","-80"
"1418282875.222","-736","952","80"
"1418282875.305","-784","896","144"
"1418282875.389","-824","832","-80"
"1418282875.472","-744","864","-88"
"1418282875.557","-568","912","-104"
"1418282875.638","-416","896","-112"
"1418282875.728","-320","864","-232"
"1418282875.804","-328","888","-296"
"1418282875.887","-312","872","-352"
"1418282875.970","-288","856","-248"
"1418282876.054","-296","920","-296"
"1418282876.137","-304","928","-368"
"1418282876.220","-272","872","-464"
"1418282876.304","-264","840","-424"
"1418282876.386","-296","880","-448"
"1418282876.469","-288","912","-464"
"1418282876.552","-224","896","-392"
"1418282876.635","-224","880","-416"
"1418282876.718","-264","920","-432"
"1418282876.801","-264","920","-440"
"1418282876.884","-264","896","-392"
"1418282876.968","-280","888","-432"
"1418282877.051","-272","912","-432"
"1418282877.134","-296","904","-440"
"1418282877.217","-312","880","-456"
"1418282877.300","-296","896","-392"
"1418282877.383","-288","896","-432"
"1418282877.466","-312","888","-432"
"1418282877.549","-320","872","-432"
"1418282877.633","-320","864","-424"
"1418282877.716","-336","856","-440"
"1418282877.800","-360","848","-400"
"1418282877.882","-352","944","-304"
"1418282877.965","-280","992","-256"
"1418282878.048","-192","920","-336"
"1418282878.132","-272","936","-280"
"1418282878.215","-288","952","-368"
"1418282878.298","-240","944","-240"
"1418282878.547","-368","920","-448"
"1418282878.630","-296","960","-256"
"1418282878.713","-272","872","-440"
