"Time(s)"," X"," Y"," Z"
"1418329430.384","976","128","88"
"1418329430.550","912","224","88"
"1418329430.636","976","216","112"
"1418329430.716","976","216","128"
"1418329430.799","1000","208","128"
"1418329430.882","952","232","56"
"1418329430.965","976","216","120"
"1418329431.048","936","200","112"
"1418329431.131","936","208","88"
"1418329431.214","944","200","136"
"1418329431.297","968","200","128"
"1418329431.380","1040","360","280"
"1418329431.464","1216","952","296"
"1418329431.548","928","1608","888"
"1418329431.630","560","1728","936"
"1418329431.713","432","1016","680"
"1418329431.796","32","112","168"
"1418329431.880","-312","-392","-296"
"1418329431.962","-1216","-432","-1384"
"1418329432.045","-816","184","-720"
"1418329432.128","-696","400","-464"
"1418329432.211","-520","768","-696"
"1418329432.378","-152","768","864"
"1418329432.462","120","-1152","-808"
"1418329432.543","432","-1416","-1656"
"1418329432.629","-40","-1408","-528"
"1418329432.710","352","-392","352"
"1418329432.794","304","1016","600"
"1418329432.876","48","208","-984"
"1418329432.959","-40","-184","-648"
"1418329433.042","-1064","-416","-400"
"1418329433.125","-808","-256","-920"
"1418329433.208","-600","-72","-1016"
"1418329433.291","-360","248","-880"
"1418329433.375","-136","704","-480"
"1418329433.458","-24","456","-480"
"1418329433.541","-216","-80","480"
"1418329433.625","32","-2552","-1256"
"1418329433.707","32","-1576","-112"
"1418329433.790","312","-200","-1192"
"1418329433.873","104","-112","-1064"
"1418329433.956","-192","-168","-1280"
"1418329434.040","-80","136","-848"
"1418329434.124","-96","160","-944"
"1418329434.206","-152","-8","-800"
"1418329434.374","-136","312","-64"
"1418329434.455","-1056","256","56"
"1418329434.538","-800","-464","-848"
"1418329434.621","-376","-1232","-1344"
"1418329434.704","-320","-744","-976"
"1418329434.787","32","-160","-936"
"1418329434.870","-352","-176","-408"
"1418329434.953","-752","-344","-480"
"1418329435.036","-512","-1088","-768"
"1418329435.120","112","-376","-1600"
"1418329435.452","-552","-1048","144"
"1418329435.535","232","-992","-1456"
"1418329435.618","-216","-544","-680"
"1418329435.706","-608","88","-480"
"1418329435.784","-848","-40","-992"
"1418329435.867","-560","0","-1216"
"1418329435.950","-480","96","-624"
"1418329436.033","-320","272","-976"
"1418329436.116","-368","432","-848"
"1418329436.200","-304","688","-896"
"1418329436.282","-160","328","-1208"
"1418329436.365","-384","784","-168"
"1418329436.449","-424","512","-528"
"1418329436.532","-88","-496","-2328"
"1418329436.615","24","296","-880"
"1418329436.698","-312","24","-504"
"1418329436.781","-1280","248","-512"
"1418329436.864","-1192","-56","-840"
"1418329436.949","-368","72","-736"
"1418329437.030","424","144","-984"
"1418329437.113","-32","168","-608"
"1418329437.196","-664","-104","-552"
"1418329437.279","-1120","64","-200"
"1418329437.362","-880","408","-1032"
"1418329437.445","-448","8","-968"
"1418329437.528","-496","208","-944"
"1418329437.611","-440","120","-1008"
"1418329437.694","-232","536","-1008"
"1418329437.777","-88","168","-456"
"1418329437.860","-40","312","-128"
"1418329437.944","-224","472","-48"
"1418329438.027","-216","376","352"
"1418329438.110","312","1288","-152"
"1418329438.359","2008","1376","-72"
