2704482933,584,432,784
2704482979,616,456,696
2704483019,624,488,904
2704483059,624,376,744
2704483099,656,480,696
2704483259,704,408,656
2704483303,704,416,552
2704483340,696,400,392
2704483381,720,344,552
2704483422,776,376,656
2704483463,744,296,344
2704483503,768,368,464
2704483544,784,400,440
2704483585,752,496,352
2704483626,800,512,344
2704483666,720,376,328
2704483707,672,416,240
2704483748,648,488,248
2704498556,-936,256,-32
2704498596,-952,256,-88
2704498636,-968,248,-40
2704498676,-992,264,-56
2704498716,-1008,312,-24
2704498961,-1000,360,80
2704499002,-1008,376,24
2704499057,-1000,384,-8
2704499093,-1000,336,32
2704499127,-976,312,16
2704499166,-976,296,-24
2704499206,-984,280,-16
2704499248,-984,272,-24
2704499289,-968,248,-32
2704499330,-976,256,24
2704499370,-992,336,-80
2704499411,-984,328,-8
2704499452,-968,320,16
2704499493,-976,336,8
2704499533,-960,352,0
2704499574,-960,360,-16
2704499615,-960,384,-8
2704499656,-944,376,-8
2704499697,-944,352,0
2704499737,-944,352,-8
2704499778,-944,352,-32
2704499819,-968,352,-24
2704499860,-968,368,-64
2704499900,-968,360,-8
2704499941,-984,368,-8
2704499982,-992,392,16
2704500023,-1000,432,8
2704500064,-1000,488,-16
2704500104,-992,536,-16
2704500145,-952,584,-40
2704500186,-888,648,80
2704500227,-832,704,192
2704500268,-784,760,280
2704500308,-752,744,288
2704500349,-672,744,344
2704500390,-600,784,384
2704500431,-552,824,440
2704500471,-480,784,560
2704500512,-432,832,592
2704500553,-400,800,672
2704500594,-360,784,784
2704500635,-344,744,816
2704500675,-360,632,760
2704500716,-360,552,784
2704500757,-352,528,776
2704500798,-384,480,848
2704500838,-352,432,792
2704500879,-312,408,832
2704500920,-336,368,816
2704500961,-328,368,904
2704501002,-328,416,888
2704501042,-288,336,768
2704501083,-288,296,960
2704501124,-280,304,1008
2704501165,-256,336,1056
2704501206,-224,376,968
2704501247,-200,480,864
2704501288,-216,440,896
2704501329,-248,464,1048
2704501370,-256,504,992
2704501410,-248,480,976
2704501450,-232,432,944
2704501490,-200,392,872
2704501530,-184,392,880
2704501695,-192,456,928
2704501737,-184,448,976
2704501777,-184,448,984
2704501818,-176,456,952
2704501859,-176,432,912
2704501900,-192,456,904
2704501940,-184,472,928
2704501981,-184,464,888
2704502022,-192,448,912
2704502063,-200,424,944
2704502103,-184,400,944
2704502144,-184,368,960
2704502185,-208,384,944
2704502226,-232,360,944
2704502267,-232,384,952
2704502307,-264,336,904
2704502348,-272,360,920
2704502389,-280,320,896
2704502430,-248,240,840
2704502470,-232,232,880
2704502511,-240,216,888
2704502552,-240,256,904
2704502593,-280,296,968
2704502634,-304,336,936
2704502674,-360,440,1000
2704502715,-376,480,968
2704502756,-408,496,936
2704502797,-416,520,912
2704502837,-424,504,928
2704502878,-448,512,888
2704502919,-448,472,872
2704502960,-488,456,896
2704503001,-480,440,864
2704503041,-504,424,832
2704503082,-528,432,832
2704503123,-520,432,848
2704503164,-504,440,800
2704503205,-488,432,800
2704503246,-504,416,792
2704503287,-496,392,856
2704503328,-472,392,824
2704503369,-480,384,872
2704503409,-480,408,872
2704503450,-496,400,856
2704503490,-496,408,872
2704503532,-496,408,904
2704503572,-496,424,928
2704503613,-496,432,888
2704503654,-480,464,904
2704503695,-472,528,768
2704503735,-424,520,688
2704503776,-400,376,472
2704503817,-496,688,688
2704503858,-472,680,1088
2704503899,-464,608,608
2704503939,-360,656,456
2704503980,-256,680,512
2704504021,-40,792,104
2704504062,0,824,-176
2704504102,-176,920,344
2704504143,-440,896,576
2704504183,-472,808,1544
2704504223,-720,816,1224
2704504263,-792,744,816
2704504428,48,784,-1280
2704504469,24,848,-280
2704504510,-272,1120,408
2704504551,-232,944,792
2704504592,-640,784,792
2704504633,-960,1096,2072
2704504673,-768,1152,1456
2704504714,-288,960,-776
2704504755,-216,-328,-2056
2704504796,-104,504,-688
2704504836,-208,488,48
2704504877,-744,728,1304
2704504918,-832,1560,1888
2704504959,-712,1368,-296
2704505000,-488,1016,-424
2704505040,-216,520,-72
2704505081,-400,248,-40
2704505123,-464,496,232
2704505164,-976,1600,1832
2704505205,-816,1648,856
2704505245,-488,1456,-24
2704505286,-376,424,-608
2704505327,-408,168,144
2704505368,-568,856,16
2704505408,-632,928,504
2704505449,-584,1344,232
2704505490,-440,1144,8
2704505531,-416,968,144
2704505572,-520,1000,328
2704505612,-616,640,96
2704505653,-680,896,312
2704505694,-720,704,680
2704505735,-632,896,752
2704505775,-664,920,112
2704505816,-544,328,304
2704505857,-664,704,-152
2704505898,-280,424,256
2704505939,-664,1152,-56
2704505979,-624,656,-424
2704506020,-576,544,-552
2704506061,-248,256,-400
2704506102,-320,704,-160
