2096898091,984,256,-88
2096898131,904,-8,-64
2096898170,856,0,-48
2096898210,848,16,-56
2096898250,856,16,-80
2096898453,1248,216,-72
2096898481,1264,256,-16
2096898519,1224,232,-88
2096898570,1192,184,-64
2096898604,1144,136,-56
2096898641,1128,120,-24
2096898678,1080,136,-40
2096898715,1040,168,-80
2096898754,1056,208,8
2096898793,1112,232,-32
2096898833,1136,40,-80
2096898873,1064,-232,-104
2096898912,1056,-392,-144
2096898951,1024,-360,-104
2096898990,1016,-216,-80
2096899069,968,184,120
2096899108,968,240,88
2096899147,960,200,32
2096899186,976,144,-56
2096899226,1000,136,-64
2096899265,1032,160,-80
2096899304,1032,168,-48
2096899343,1040,160,-56
2096899383,1040,112,-152
2096899422,1032,96,-208
2096899461,1024,72,-232
2096899500,1008,120,-168
2096899539,984,144,-88
2096899580,984,136,-48
2096899619,984,152,-24
2096899658,1000,168,-80
2096899697,1032,184,-136
2096899736,1032,176,-104
2096899776,1048,184,-176
2096899815,1048,176,-144
2096899854,1032,152,-184
2096899893,1032,144,-128
2096899932,1008,152,-72
2096899972,1032,168,-72
2096900011,1048,152,-88
2096900050,1040,152,-64
2096900089,1048,160,-104
2096900128,1024,136,-56
2096900168,1048,112,-72
2096900207,1040,120,-56
2096900247,1032,112,-40
2096900286,1000,120,-8
2096900325,968,128,8
2096900365,944,160,40
2096900404,944,184,24
2096900443,936,192,-8
2096900482,960,224,-24
2096900521,1008,248,-32
2096900561,1048,240,-56
2096900600,1080,240,-56
2096900639,1080,232,-96
2096900678,1088,192,-88
2096900717,1072,160,-88
2096900757,1080,152,-80
2096900796,1064,160,-72
2096900836,1056,152,-64
2096900876,1064,152,0
2096900916,1064,144,24
2096901071,1024,160,72
2096901118,1008,152,24
2096901156,992,152,24
2096901191,976,144,40
2096901228,952,136,32
2096901267,968,144,-8
2096901307,960,160,-16
2096901346,976,144,-16
2096901385,1000,144,-24
2096901424,1016,160,-56
2096901463,1032,176,-72
2096901503,1048,176,-88
2096901542,1056,184,-88
2096901581,1032,184,-48
2096901623,1024,192,-120
2096901660,1032,224,-88
2096901700,1040,232,-104
2096901739,1048,224,-128
2096901778,1072,224,-128
2096901817,1080,208,-128
2096901856,1080,176,-24
2096901897,1096,184,-40
2096901935,1072,176,-8
2096901977,1008,160,-40
2096902013,1000,168,-48
2096902054,992,168,-8
2096902092,984,152,-80
2096902131,1008,144,-72
2096902170,1008,120,-64
2096902209,1024,144,-56
2096902249,1040,144,-128
2096902289,1016,136,-128
2096902329,992,128,-160
2096902367,960,104,-168
2096902406,944,112,-144
2096902446,952,112,-88
2096902486,992,120,-104
2096902524,952,160,-56
2096902563,936,184,0
2096902603,960,224,8
2096902643,984,248,-56
2096902681,1008,248,-32
2096902720,1032,256,-64
2096902759,1056,240,-80
2096902798,1088,248,-104
2096902838,1088,208,-112
2096902877,1088,168,-128
2096902916,1064,176,-96
2096902956,1072,168,-128
2096902997,1032,136,-176
2096903035,1040,120,-88
2096903074,1032,144,-96
2096903113,1056,160,-96
2096903152,1080,160,-48
2096903192,1064,160,-56
2096903231,1064,160,-16
2096903270,1032,152,-8
2096903309,1008,120,24
2096903348,1000,112,16
2096903388,968,120,-56
2096903427,920,128,-16
2096903467,944,128,-64
2096903507,936,120,-120
2096903547,952,112,-136
2096903702,1072,240,-208
2096903743,992,352,-128
2096903781,936,376,-120
2096903820,928,400,-200
2096903859,912,448,-192
2096903899,912,528,-216
2096903938,936,648,-240
2096903977,920,704,-368
2096904016,928,736,-320
2096904055,936,800,-248
2096904094,912,800,-272
2096904134,872,784,-184
2096904173,856,752,-216
2096904212,816,720,-184
2096904251,760,744,-160
2096904290,736,744,-112
2096904331,648,736,-128
2096904370,552,736,-160
2096904409,536,680,-16
2096904448,536,680,-24
2096904487,536,696,-16
2096904527,568,696,24
2096904566,560,712,-24
2096904605,536,744,-56
2096904644,560,856,-32
2096904683,568,904,-64
2096904723,560,896,-136
2096904762,568,880,-120
2096904801,568,880,-200
2096904840,568,912,-256
2096904879,544,960,-280
2096904919,504,976,-320
2096904958,480,952,-280
2096904998,456,912,-384
2096905037,424,920,-248
2096905077,392,928,-312
2096905116,408,920,-240
2096905155,424,960,-312
2096905194,432,1040,-328
2096905233,432,1088,-384
2096905273,440,1136,-448
2096905312,440,1152,-448
2096905351,408,1112,-440
2096905390,368,1096,-520
2096905429,320,1104,-488
2096905469,240,1048,-512
2096905508,152,992,-512
2096905547,80,960,-528
2096905586,16,920,-544
2096905626,-72,832,-456
2096905665,-128,768,-608
2096905705,-200,728,-504
2096905744,-256,744,-560
2096905783,-280,664,-560
2096905823,-336,568,-608
2096905862,-400,552,-576
2096905901,-440,528,-560
2096905940,-496,496,-592
2096905979,-496,464,-664
2096906019,-512,464,-632
2096906058,-504,448,-688
2096906098,-536,424,-672
2096906138,-552,416,-696
2096906178,-568,416,-656
2096906332,-584,328,-800
2096906382,-600,304,-768
2096906418,-600,296,-792
2096906456,-600,280,-800
2096906492,-608,240,-856
2096906530,-592,208,-832
2096906569,-600,192,-864
2096906608,-592,160,-816
2096906647,-584,160,-824
2096906686,-576,160,-832
2096906726,-576,136,-832
2096906765,-568,104,-864
2096906804,-568,80,-840
2096906843,-576,72,-848
2096906882,-560,64,-832
2096906922,-560,64,-792
2096906961,-568,48,-880
2096907000,-560,32,-864
2096907039,-560,32,-864
2096907080,-560,16,-840
2096907119,-552,48,-848
2096907158,-552,40,-856
2096907197,-576,0,-880
2096907236,-560,8,-888
2096907276,-576,-8,-848
2096907315,-576,0,-904
2096907354,-576,-24,-904
2096907393,-576,-16,-904
2096907432,-584,-16,-840
2096907473,-584,-32,-864
2096907511,-568,-40,-840
2096907551,-560,-40,-800
2096907589,-568,-24,-848
2096907628,-576,-8,-840
2096907668,-568,40,-840
2096907707,-592,72,-856
2096907747,-592,88,-808
2096907786,-592,120,-864
2096907826,-584,136,-840
2096907865,-592,184,-784
2096907904,-600,200,-840
2096907948,-608,248,-800
2096907988,-616,296,-720
2096908023,-608,304,-744
2096908061,-600,328,-688
2096908100,-584,304,-656
2096908139,-568,336,-624
2096908179,-552,368,-544
2096908218,-528,432,-560
2096908257,-512,456,-520
2096908296,-512,496,-552
2096908335,-472,544,-576
2096908375,-464,592,-584
2096908414,-432,656,-648
2096908454,-408,760,-632
2096908493,-368,840,-656
2096908532,-336,912,-664
2096908572,-312,968,-656
2096908611,-264,960,-640
2096908650,-216,1000,-648
2096908689,-192,1032,-704
2096909318,-24,848,-600
2096909357,-32,864,-624
2096909396,-40,856,-568
