3228455014,-424,104,-808
3228455054,-440,72,-840
3228455095,-424,80,-864
3228455135,-432,64,-816
3228455175,-448,72,-888
3228455387,-424,-96,-864
3228455421,-456,-104,-784
3228455462,-480,-96,-816
3228455510,-472,-120,-872
3228455544,-480,-192,-1000
3228455585,-480,-216,-896
3228455626,-520,-232,-904
3228455666,-520,-280,-808
3228455707,-496,-360,-696
3228455748,-536,-304,-712
3228455789,-512,-336,-752
3228455831,-512,-336,-792
3228455871,-528,-344,-768
3228455912,-504,-336,-608
3228455953,-480,-384,-880
3228455994,-504,-424,-776
3228456035,-488,-400,-640
3228456076,-520,-424,-672
3228456116,-520,-392,-648
3228456157,-552,-408,-720
3228456198,-544,-408,-752
3228456239,-536,-344,-776
3228456280,-504,-368,-704
3228456320,-488,-368,-792
3228456361,-464,-344,-704
3228456402,-488,-272,-784
3228456443,-496,-288,-696
3228456484,-496,-288,-800
3228456524,-520,-336,-656
3228456565,-496,-312,-736
3228456606,-440,-272,-656
3228456647,-328,-208,-768
3228456688,-232,-192,-856
3228456728,-240,-176,-800
3228456769,-272,-176,-1032
3228456810,-320,-96,-920
3228456851,-352,-64,-1088
3228456892,-344,-64,-992
3228456932,-328,-64,-968
3228456973,-312,-24,-880
3228457014,-312,-16,-952
3228457055,-320,8,-960
3228457096,-328,-40,-1008
3228457136,-336,-48,-968
3228457177,-368,-64,-1056
3228457218,-336,-80,-992
3228457259,-336,-48,-944
3228457300,-312,-32,-888
3228457340,-288,48,-776
3228457381,-240,80,-696
3228457422,-224,128,-664
3228457463,-176,152,-808
3228457504,-112,136,-888
3228457544,-64,144,-672
3228457585,-160,248,-680
3228457626,-384,432,-1224
3228457667,-296,408,-1192
3228457708,-272,512,-1056
3228457748,-360,456,-1016
3228457789,-464,448,-944
3228457831,-576,448,-848
3228457871,-568,544,-632
3228457911,-504,392,-704
3228457951,-384,440,-608
3228458116,-96,376,-704
3228458157,-136,232,-1136
3228458198,-192,360,-1120
3228458239,-232,360,-1240
3228458280,-184,496,-1288
3228458321,-120,488,-1264
3228458362,-128,592,-1192
3228458402,-136,624,-1160
3228458443,-136,712,-784
3228458484,-176,648,-520
