Time(s),X,Y,Z
95411.852,1000,456,24
95411.935,928,-504,-624
95412.021,1000,704,72
95412.101,568,-552,-912
95412.184,1048,592,8
95412.267,528,-528,-1104
95412.35,856,-64,-216
95412.433,912,336,-312
95412.516,672,-672,-760
95412.599,1096,904,232
95412.682,456,-616,-1024
95412.768,944,336,-248
95412.849,824,-176,-632
95412.932,880,-312,-216
95413.015,904,176,-72
95413.099,872,-336,-128
95413.181,984,280,-184
95413.264,760,-768,-472
95413.942,1064,424,-248
95414.011,696,-760,-696
95414.094,848,-432,-408
95414.177,928,40,-496
95414.261,776,-680,-408
95414.344,984,128,-24
95414.427,712,-704,-672
95414.51,992,512,-176
95414.593,392,-648,-1040
95414.68,968,88,-88
95414.759,840,248,-584
95414.842,592,-680,-672
95415.091,640,-200,-264
95415.178,1024,256,-384
95415.257,504,-720,-896
95415.34,1128,360,-64
95415.423,792,-280,-840
95415.506,664,-536,-536
95415.589,1128,472,-168
95415.672,432,-808,-904
95415.755,1024,368,-184
95415.838,816,-280,-656
95415.921,864,-288,-432
95416.004,912,96,-304
95416.087,768,-536,-616
95416.17,888,-8,-336
95416.253,600,-696,-544
95416.336,1024,312,-16
95416.42,768,-912,-592
95416.503,1064,672,80
95416.586,632,-704,-848
95416.669,816,8,-192
95416.752,976,384,-256
95416.835,600,-792,-696
95416.918,1048,816,0
95417.084,808,-120,-192
95417.167,952,456,-240
95417.25,592,-832,-640
95417.333,992,784,-208
95417.416,576,-904,-808
95417.5,896,144,-384
95417.583,920,248,-240
95417.666,672,-592,-760
95417.749,1000,752,-160
95417.832,704,-632,-512
95417.915,936,368,-592
95417.998,736,-416,-592
95418.081,952,360,-808
95418.165,736,-248,-424
95418.248,920,-240,-664
95418.331,920,464,-304
95418.414,704,-576,-592
95418.497,944,824,-576
95418.58,672,-544,-368
95418.663,984,272,128
95418.746,752,-144,-976
95418.829,856,544,-256
95418.912,720,16,-992
95420.721,1064,664,-160
95421.167,744,-24,-632
95421.32,832,16,-536
95421.403,592,-824,-456
95421.486,888,32,-432
95421.569,528,-784,-464
95421.652,976,176,-392
95421.735,656,-792,-608
95421.818,1136,344,64
95421.902,696,-768,-976
95421.984,960,496,40
95422.067,800,-240,-528
95422.15,704,-464,-688
95422.233,1000,464,-96
95422.316,600,-856,-840
95422.399,1024,792,-24
95422.482,776,-256,-664
95422.566,760,-352,-392
95422.649,1024,520,-56
95422.732,640,-824,-880
95422.815,976,696,-216
95422.898,744,-248,-656
95422.981,728,-304,-464
95423.147,632,-864,-840
95423.23,968,416,-264
95423.396,632,-656,-672
95423.479,960,744,-144
95423.562,576,-736,-912
95423.645,888,192,-216
95423.728,960,296,-304
95423.812,712,-536,-664
95423.895,1016,744,-120
95423.978,656,-792,-864
95424.061,904,248,-288
95424.144,952,312,-256
95424.227,784,-384,-432
95424.31,976,648,-248
95424.393,760,-376,-456
95424.476,952,592,-488
95424.559,696,-584,-400
95424.642,864,488,-720
95424.725,760,24,-496
95424.808,840,-320,-472
95424.891,920,560,-352
95424.974,664,-696,-560
95425.057,872,808,-616
95425.14,712,-152,-816
95425.223,960,472,40
95425.306,712,248,-552
95425.389,904,72,-352
95425.472,872,600,-128
95425.556,624,-224,-688
95425.639,1016,1016,-112
95426.318,696,-200,-616
95426.387,896,288,-472
95426.469,768,208,-304
95426.552,856,-384,-424
95426.635,960,560,-312
95426.718,608,-600,-608
95426.801,1144,1072,-248
95426.884,544,-616,-864
95426.967,992,520,-656
95427.05,624,-304,-760
95427.133,896,392,-416
95427.216,520,-248,-896
95427.304,848,728,24
95427.383,576,-72,-1048
95427.466,824,576,-96
95427.549,824,680,-304
95427.632,544,-112,-744
95427.881,728,568,-112
95427.964,880,744,-344
95428.13,992,1168,0
95428.213,576,24,-752
95428.545,560,408,-528
95428.628,528,480,-496
95428.711,368,512,-336
95428.794,128,448,-144
95428.877,-224,856,-344
95428.963,-448,1224,-184
95429.044,-960,1064,-304
95429.127,-1096,976,-144
95429.21,-952,680,-152
95429.293,-856,592,-208
95429.376,-864,560,-208
95429.459,-872,560,-224
95429.542,-840,536,-200
95429.625,-816,544,-152
95429.708,-824,568,-152
