1418317267,915,272,264,-728
1418317268,323,168,152,-1024
1418317268,407,152,136,-1000
1418317268,490,160,120,-1032
1418317268,573,152,120,-1000
1418317268,656,144,120,-1024
1418317268,739,136,136,-1008
1418317268,822,152,136,-992
1418317268,906,152,120,-1008
1418317268,988,144,128,-992
1418317269,72,144,128,-1016
1418317269,155,168,128,-1016
1418317269,238,160,120,-1008
1418317269,321,152,144,-984
1418317269,404,160,144,-1008
1418317269,490,160,128,-984
1418317269,570,168,144,-1008
1418317269,653,176,120,-968
1418317269,736,200,40,-976
1418317269,819,176,152,-896
1418317269,903,168,104,-832
1418317270,69,400,1104,-72
1418317270,152,360,1232,112
1418317270,235,600,1072,-472
1418317270,318,264,512,-1040
1418317270,401,-32,216,-528
1418317270,485,-144,168,-632
1418317270,572,-128,232,-592
1418317270,651,184,880,-1064
1418317270,734,496,624,-1528
1418317270,817,256,520,-1232
1418317270,900,48,312,-1112
1418317270,983,-208,400,-592
1418317271,66,-408,160,-216
1418317271,150,-584,-56,-168
1418317271,233,-744,-384,-520
1418317271,316,-704,-216,-680
1418317271,399,-816,-160,-608
1418317271,483,-664,128,-440
1418317271,565,-720,968,-776
1418317271,648,-744,840,-48
1418317271,731,-688,488,-424
1418317271,814,-696,608,-304
1418317271,898,-728,752,-272
1418317271,981,-744,584,-320
1418317272,64,-720,656,-256
1418317272,147,-752,736,-224
1418317272,230,-728,744,-272
1418317272,313,-720,720,-296
1418317272,396,-728,584,-392
1418317272,479,-744,424,-568
1418317272,563,-728,168,-544
1418317272,646,-344,-8,-256
1418317272,729,-80,848,-688
1418317274,23,-888,296,-432
1418317274,141,-848,304,-512
1418317274,224,-864,296,-488
1418317274,308,-856,288,-496
1418317274,391,-864,272,-464
1418317274,474,-888,248,-488
1418317274,557,-856,232,-440
1418317274,640,-872,232,-440
1418317274,723,-888,248,-464
1418317274,806,-872,256,-456
1418317274,889,-872,232,-448
1418317274,972,-888,208,-504
1418317275,56,-888,216,-440
1418317275,228,-904,224,-448
1418317275,305,-888,200,-480
1418317275,388,-880,192,-416
1418317275,471,-880,200,-496
1418317275,554,-864,80,-288
1418317275,637,-824,-64,-240
1418317275,721,-480,-216,-248
1418317275,804,80,600,-440
1418317275,888,312,1264,-704
1418317275,970,624,416,-1520
1418317276,53,616,488,-1128
1418317276,136,408,616,-880
1418317276,220,224,544,-1056
1418317276,303,48,472,-944
1418317276,386,-200,472,-608
1418317276,469,-408,512,-416
1418317276,552,-464,424,-584
1418317276,635,-448,336,-712
1418317276,718,-376,288,-800
1418317276,805,-264,232,-896
1418317276,884,-160,16,-1248
1418317276,967,-232,32,-1144
1418317277,50,-264,328,-1072
1418317277,134,-256,528,-744
1418317277,383,-360,928,48
1418317277,466,-336,1152,72
1418317277,549,-344,1072,80
1418317277,632,-336,984,144
1418317277,718,-320,992,-272
1418317277,799,-328,768,-856
1418317277,882,-296,456,-712
1418317277,965,-376,432,-464
1418317278,48,-328,584,-728
1418317278,131,-264,608,-944
1418317278,214,-208,584,-1040
1418317278,297,-168,520,-976
1418317278,380,-160,504,-960
1418317278,463,-232,504,-880
1418317278,547,-240,312,-880
1418317278,630,-256,56,-760
1418317278,713,-208,176,-912
1418317279,386,-224,216,-1128
1418317279,461,-216,368,-848
1418317279,545,-280,464,-760
1418317279,627,-272,560,-904
1418317279,710,-256,520,-928
1418317279,793,-232,448,-912
1418317279,880,-256,480,-856
1418317279,959,-248,480,-832
1418317280,42,-256,496,-856
1418317280,126,-224,464,-848
1418317280,209,-192,424,-184
1418317280,292,-160,936,1048
1418317280,375,-112,1136,776
1418317280,458,-168,984,616
1418317280,541,-232,696,544
1418317280,625,-384,808,736
1418317280,708,-392,568,568
1418317280,791,-336,792,400
1418317280,874,-176,1040,-168
1418317280,958,-128,1088,-352
1418317281,41,-264,1096,-80
1418317281,124,-400,888,344
1418317281,207,-512,808,344
1418317281,290,-392,952,56
1418317281,373,-360,984,-144
1418317281,456,-416,952,40
1418317281,788,-368,992,-264
1418317281,872,-304,808,-344
1418317281,955,-224,560,312
1418317282,38,-16,712,920
1418317282,121,0,952,1040
1418317282,204,-16,1192,1112
1418317282,287,8,1112,976
1418317282,370,-112,992,640
1418317282,453,-224,800,184
1418317282,536,-424,288,-96
1418317282,619,-752,-280,-472
1418317282,702,-680,136,-864
1418317282,786,-648,288,-456
1418317282,869,-832,432,-584
1418317282,952,-760,432,-592
1418317283,35,-784,368,-544
1418317283,118,-864,208,-384
1418317283,201,-880,56,-152
1418317283,284,-872,216,-448
1418317283,367,-880,312,-576
1418317283,617,-728,-248,-304
1418317283,700,-512,832,2472
1418317283,783,-768,808,96
1418317283,866,-648,392,72
1418317283,949,-856,480,336
1418317284,32,-872,360,80
1418317284,115,-768,-168,232
1418317284,198,-784,1280,-48
1418317284,282,-792,264,-352
1418317284,364,-768,312,-864
1418317286,170,176,944,328
1418317286,275,200,960,296
1418317286,359,200,968,232
1418317286,442,208,992,200
1418317286,525,192,1008,104
1418317286,608,192,992,-40
1418317286,691,184,976,-112
1418317286,774,136,968,-296
1418317286,857,152,888,-480
