"FileName"," Time"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5820000171661377","-530.0","834.0","344.0","0","1","1","26.602398932956458","-5.2691117444055235","37.140645494158704","-1364.0","-874.0","490.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5820000171661377","-280.8888888888889","464.8888888888889","208.88888888888889","2","1","1","-88.38558909796785","28.14456779226117","76.24107321858688","-745.7777777777778","-489.77777777777777","256.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5820000171661377","-206.4","336.53333333333336","150.93333333333334","0","1","0","163.8555724141483","83.50845743493956","-25.677148967321692","-542.9333333333333","-357.3333333333333","185.6","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5829999446868896","-161.14285714285714","240.38095238095238","101.33333333333333","1","1","1","-308.3568192067837","131.70126063607017","131.62423625966096","-401.5238095238095","-262.4761904761905","139.04761904761904","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5820000171661377","-22.571428571428573","229.14285714285714","18.857142857142858","0","2","1","1569.9102263505904","-682.9591609660334","-1118.4553822351916","-251.71428571428572","-41.42857142857143","210.28571428571428","Inactive","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.6649999618530273","118.82352941176471","68.70588235294117","-79.29411764705883","2","2","1","92.60727985947767","-870.9403959453688","-876.7240209694439","50.11764705882353","198.11764705882354","148.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5820000171661377","144.390243902439","46.829268292682926","-66.73170731707317","1","2","1","263.0388466527805","-728.0891236854226","430.7500335191431","97.5609756097561","211.1219512195122","113.5609756097561","Hand Raise","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5859999656677246","106.33333333333333","-0.8333333333333334","-93.0","2","2","2","520.29159532433","305.3388811039466","1141.4016398629121","107.16666666666667","199.33333333333334","92.16666666666667","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.6600000858306885","31.84","9.44","-22.24","0","0","0","160.0","-928.0","1376.0","22.4","54.08","31.68","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5","82.85714285714286","29.0","-58.714285714285715","2","2","2","-89.44628348961487","-419.4710042694909","-715.6454443613245","53.857142857142854","141.57142857142858","87.71428571428571","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5799999237060547","83.93650793650794","1.3968253968253967","-67.17460317460318","3","2","2","-497.96813625066846","-804.4908973308428","-141.02372076388554","82.53968253968254","151.11111111111111","68.57142857142857","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5840001106262207","41.91044776119403","-1.9104477611940298","-45.25373134328358","0","0","1","-394.281129481579","616.3542859759723","-820.1778753976301","43.82089552238806","87.16417910447761","43.343283582089555","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5799999237060547","62.02739726027397","12.383561643835616","-49.205479452054796","2","1","2","374.66975836036625","342.82427778996515","292.47211351129016","49.64383561643836","111.23287671232876","61.58904109589041","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5810000896453857","47.58974358974359","-8.102564102564102","-47.69230769230769","1","1","1","817.4470103532034","154.5071768390029","-9.733827162410307","55.69230769230769","95.28205128205128","39.58974358974359","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5820000171661377","57.88235294117647","24.376470588235293","-45.45882352941177","3","3","3","-356.7587652766365","25.921345249247526","-890.4936457572454","33.50588235294118","103.34117647058824","69.83529411764705","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5839998722076416","55.391304347826086","18.608695652173914","-47.391304347826086","3","2","3","-29.60908526894355","-207.43596952863132","-487.8527022158493","36.78260869565217","102.78260869565217","66.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.7460000514984131","51.23232323232323","5.414141414141414","-48.24242424242424","2","2","3","-68.99022055922008","-433.8414595070362","-473.083210267283","45.81818181818182","99.47474747474747","53.656565656565654","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.8410000801086426","20.392156862745097","1.6470588235294117","-20.470588235294116","0","0","0","490.98737675133395","124.33651463903311","161.5418718716562","18.745098039215687","40.86274509803921","22.11764705882353","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5709998607635498","38.81481481481482","7.777777777777778","-36.148148148148145","1","1","2","-356.39511682175015","241.11810628877566","-189.76382219756707","31.037037037037038","74.96296296296296","43.925925925925924","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5","37.26315789473684","5.543859649122807","-34.59649122807018","1","1","2","293.4744963490831","26.139585937906123","332.953931250155","31.719298245614034","71.85964912280701","40.14035087719298","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5799999237060547","29.04201680672269","-2.2184873949579833","-25.949579831932773","1","1","1","628.8202096023015","994.8918403654385","1263.0370657208487","31.26050420168067","54.99159663865546","23.73109243697479","Brush Teeth","Brush Teeth"
