"FileName"," Time"," Number of Points"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","2.0","34","1582.9333333333334","161.06666666666666","-1476.8","12","13","11","NaN","NaN","NaN","1421.8666666666666","3059.733333333333","1637.8666666666666","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","2.0","34","1539.7333333333333","140.26666666666668","-1453.3333333333333","12","12","11","NaN","NaN","NaN","1399.4666666666667","2993.0666666666666","1593.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","2.0","31","1425.0666666666666","32.0","-1398.4","12","10","11","NaN","NaN","NaN","1393.0666666666666","2823.4666666666667","1430.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","21","1013.3333333333334","-27.2","-878.4","8","6","7","NaN","NaN","NaN","1040.5333333333333","1891.7333333333333","851.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","2.0","15","762.6666666666666","85.86666666666666","-629.8666666666667","4","5","6","NaN","NaN","NaN","676.8","1392.5333333333333","715.7333333333333","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","18","841.0666666666667","179.73333333333332","-826.1333333333333","6","7","6","NaN","NaN","NaN","661.3333333333334","1667.2","1005.8666666666667","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","2.0","29","1332.2666666666667","6.933333333333334","-1345.0666666666666","8","10","10","NaN","NaN","NaN","1325.3333333333333","2677.3333333333335","1352.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","2.0","33","1506.1333333333334","14.933333333333334","-1537.0666666666666","10","12","11","NaN","NaN","NaN","1491.2","3043.2","1552.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","2.0","33","1518.4","-97.06666666666666","-1514.1333333333334","10","11","12","NaN","NaN","NaN","1615.4666666666667","3032.5333333333333","1417.0666666666666","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","2.0","27","1286.9333333333334","128.53333333333333","-1194.1333333333334","9","10","10","NaN","NaN","NaN","1158.4","2481.0666666666666","1322.6666666666667","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","2.0","25","1052.8","228.26666666666668","-960.5333333333333","8","9","8","NaN","NaN","NaN","824.5333333333333","2013.3333333333333","1188.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","2.0","24","195.73333333333332","828.8","-57.6","4","8","6","NaN","NaN","NaN","-633.0666666666667","253.33333333333334","886.4","Brush Teeth","Inactive"
"data\Raw Data Cleaned\Austin brush 2.csv","2.06499981880188","25","-169.6","706.88","135.36","6","5","3","696.7833896506721","-213.21032324254315","-179.43692976263605","-876.48","-304.96","571.52","Inactive","Raise Hand"
