"FileName"," Time"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ "
"data/Raw Data Cleaned/Austin brush 1.csv","2.078000068664551","-520.8888888888889","836.0","365.3333333333333","7","8","7","-8.094063382908416","3.356523973212095","-21.92507129936242","-1356.888888888889","-886.2222222222222","470.6666666666667"
"data/Raw Data Cleaned/Austin brush 1.csv","2.0799999237060547","184.78048780487805","322.9268292682927","-93.46341463414635","9","10","13","820.5744189481971","-348.349044071828","-89.86862464518063","-138.14634146341464","278.2439024390244","416.390243902439"
"data/Raw Data Cleaned/Austin brush 1.csv","2.0870001316070557","242.13333333333333","43.46666666666667","-184.53333333333333","9","9","8","269.13895284467367","94.29460738129816","417.15047149051526","198.66666666666666","426.6666666666667","228.0"
"data/Raw Data Cleaned/Austin brush 1.csv","2.066999912261963","174.9873417721519","-5.063291139240507","-161.51898734177215","8","9","9","-187.6043648566805","-25.251878945343783","-52.93908840641401","180.0506329113924","336.50632911392404","156.45569620253164"
"data/Raw Data Cleaned/Austin brush 1.csv","2.6700000762939453","161.64705882352942","44.78431372549019","-144.07843137254903","13","11","11","57.992166321313334","10.025869638863737","148.03550239881915","116.86274509803921","305.72549019607845","188.86274509803923"
"data/Raw Data Cleaned/Austin brush 1.csv","2.066999912261963","126.19354838709677","11.419354838709678","-116.45161290322581","10","8","9","76.33906438557356","141.78005006113776","229.5759955101947","114.7741935483871","242.6451612903226","127.87096774193549"
"data/Raw Data Cleaned/Austin brush 1.csv","2.0769999027252197","100.19310344827586","45.13103448275862","-92.02758620689656","10","9","9","-65.4420592303927","-161.02301276830428","-193.2223331356056","55.06206896551724","192.2206896551724","137.15862068965518"
"data/Raw Data Cleaned/Austin brush 1.csv","2.6410000324249268","47.94871794871795","6.153846153846154","-51.8974358974359","5","6","5","178.6506759162833","89.43569065726221","-209.83978810270546","41.794871794871796","99.84615384615384","58.05128205128205"
"data/Raw Data Cleaned/Austin brush 1.csv","2.0230000019073486","89.89830508474576","38.14689265536723","-60.33898305084746","11","12","10","-163.10515363612126","-255.90815694790118","-453.48637379547256","51.75141242937853","150.23728813559322","98.48587570621469"
"data/Raw Data Cleaned/Austin brush 1.csv","2.1500000953674316","79.67676767676768","-12.929292929292929","-61.97979797979798","11","9","10","6.243480220848534","42.99099402193538","151.99467255179857","92.60606060606061","141.65656565656565","49.05050505050505"
