"FileName"," Time"," Number of Points"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Standard Deviation X"," Standard Deviation Y"," Standard Deviation Z"," Zero-Crossings X"," Zero-Crossings Y"," Zero-Crossings Z"," Correlation XY"," Correlation XZ"," Correlation YZ"," Energy X"," Energy Y"," Energy Z"," Entropy X"," Entropy Y"," Entropy Z"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","1.1640000343322754","9","-516.4444444444445","835.5555555555555","361.77777777777777","2","3","2","28.88154883985157","14.280998770979071","53.256830869610624","-1352.0","-878.2222222222222","473.77777777777777","300.2469135802469","58.46913580246914","636.8395061728393","0","0","0","-431544.8888888889","-186595.55555555556","302215.1111111111","2403136.0","6283904.0","1183680.0000000002","0.5081988927883424","0.17917852222786881","0.9685609809907332","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.9149999618530273","10","-572.4444444444445","931.5555555555555","419.55555555555554","2","4","2","7.216366837837465","13.174463168814384","23.502440154471557","-1504.0","-992.0","512.0","220.16","74.24","240.64000000000001","0","0","0","-432006.4","-194624.0","316595.2","2656511.999999999","7029888.0","1428224.0000000005","0.5242116787332124","0.2415520411439948","0.5809032337496978","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.8329999446868896","9","-522.6666666666666","836.4444444444445","376.0","1","2","1","-46.081433528531946","-31.839716025880342","-38.11928063581332","-1359.111111111111","-898.6666666666666","460.44444444444446","711.1111111111111","342.9135802469136","355.55555555555554","0","0","0","-436835.55555555556","-196480.0","314723.55555555556","2465024.000000001","6299840.0","1275584.0","0.757125471128073","0.39843506082424596","0.8106534776472208","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.9140000343322754","10","-649.7777777777778","991.1111111111111","416.8888888888889","2","2","3","-143.15052555986358","496.42137402377193","242.57701172860217","-1640.888888888889","-1066.6666666666667","574.2222222222222","9362.560000000001","12483.2","3052.1600000000003","0","0","0","-527833.6","-221216.0","340243.2","3513536.0000000005","8081472.0","1438271.9999999995","1.7438971467750786","1.665521254258569","1.8375140049795142","Inactive","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.9159998893737793","12","-263.1111111111111","1145.7777777777778","172.44444444444446","1","3","2","1217.2606754781182","-381.21165832538577","-783.400338248018","-1408.888888888889","-435.55555555555554","973.3333333333334","223704.88888888888","45626.222222222226","107400.88888888889","1","0","1","-235674.66666666666","-171642.66666666666","169040.0","3151743.999999999","9408960.000000002","1489535.9999999995","4.597928237526992","2.4682151207533973","4.867080201894994","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.75","10","467.55555555555554","732.4444444444445","-253.33333333333334","1","2","1","1262.808765430375","-917.6502780931426","-1092.9525399341983","-264.8888888888889","720.8888888888889","985.7777777777778","93570.55999999998","76572.16","70121.6","1","0","1","208115.2","-166707.2","-86937.6","2706431.9999999986","5111168.0","1221055.9999999995","4.0284007174412295","3.0193113845432467","4.575254616002619","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.9079999923706055","10","830.2222222222222","373.3333333333333","-506.6666666666667","3","4","3","-147.09963902842964","-74.60841832228844","-102.47142703918345","456.8888888888889","1336.888888888889","880.0","14236.16","61235.2","117120.0","0","2","2","267308.8","-309920.0","-93120.0","5725440.0","1741312.0000000002","3250559.9999999995","1.7694131154030746","3.4707677953664606","3.734813465203881","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.9140000343322754","12","1022.2222222222222","168.88888888888889","-730.6666666666666","4","4","4","-292.3390354681885","-168.55124777987038","-510.9015025286922","853.3333333333334","1752.888888888889","899.5555555555555","26878.22222222222","67678.22222222222","158320.0","0","4","2","125242.66666666667","-359898.6666666667","794.6666666666666","7375872.0","1004672.0000000003","5503487.999999998","2.2496999010243917","5.295953689563583","4.071086462071559","Hand Raise","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.747999906539917","10","866.6666666666666","80.0","-631.1111111111111","4","2","4","-222.88790716410065","47.30434881807893","-481.89727873740514","786.6666666666666","1497.7777777777778","711.1111111111111","35651.2","46604.8","195417.6","0","6","2","80326.4","-363993.6","1798.4","6440511.999999999","517887.9999999999","5180416.000000002","2.39903137038983","5.1724381286898495","3.5349751516743297","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.9149999618530273","6","541.3333333333334","146.66666666666666","-344.8888888888889","2","1","2","-836.0464132558142","1012.4888196367967","-2677.2621196369873","394.6666666666667","886.2222222222222","491.55555555555554","24378.666666666668","37221.333333333336","191758.22222222222","0","2","1","188234.66666666666","-353024.0","-96096.0","4102335.9999999995","513728.0000000001","2756351.9999999995","1.4395237303651338","2.700169490794525","2.5617127534149056","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5820000171661377","8","678.2222222222222","210.66666666666666","-505.77777777777777","2","3","2","-283.09798265216847","60.418988643211186","-819.8047155845982","467.55555555555554","1184.0","716.4444444444445","14911.0","70367.0","207847.0","0","4","4","207120.0","-380648.0","-33544.0","4776640.0","1012287.9999999999","4252864.0","1.558635142679157","2.883189596518815","3.313655654624017","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.9129998683929443","12","1015.1111111111111","132.44444444444446","-771.5555555555555","5","4","4","-145.17774960530588","-497.45749259099506","103.9255929299738","882.6666666666666","1786.6666666666667","904.0","16968.888888888887","87535.55555555555","158808.8888888889","0","7","4","104304.0","-399013.3333333333","26533.333333333332","7159167.999999999","1168832.0","5923967.999999998","2.177237792600565","5.840043997751918","4.46689880646123","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.6610000133514404","9","756.4444444444445","-49.77777777777778","-600.8888888888889","3","2","3","-479.775617392411","-1101.982878303595","-337.08348446603793","806.2222222222222","1357.3333333333333","551.1111111111111","19699.358024691363","55022.61728395062","73108.54320987655","0","3","0","-14968.888888888889","-427911.1111111111","60096.0","5327168.000000001","517503.9999999997","3907583.999999998","1.943123867678065","4.609338162039402","3.331231073939108","Brush Teeth","Brush Teeth"
