"FileName"," Time"," Number of Points"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Standard Deviation X"," Standard Deviation Y"," Standard Deviation Z"," Zero-Crossings X"," Zero-Crossings Y"," Zero-Crossings Z"," Correlation XY"," Correlation XZ"," Correlation YZ"," Energy X"," Energy Y"," Energy Z"," Entropy X"," Entropy Y"," Entropy Z"," Previous Gesture"," Gesture"
"data/Filtered Data/Austin brush 1.csv","1.1640000343322754","9","-0.5425483333333333","0.6790414444444443","0.5882867777777778","1","2","2","-0.03915470546175875","0.10100894747904424","0.16104080445559368","-1.2215897777777778","-1.1308351111111112","0.09075466666666665","0.002295777052888889","0.0060674254149135805","0.0074491195248395075","0","0","0","-0.3719627546002222","-0.32270950868055553","0.4059939985385556","2.669890239500999","4.204482378192997","3.1817740718970002","1.2007003549749147","1.3795783997497295","1.6209130626425248","Inactive"," Inactive"
"data/Filtered Data/Austin brush 1.csv","0.9149999618530273","10","-0.6170146666666666","0.7723014444444446","0.6911977777777778","2","1","1","-0.010095202203750856","0.025764783303252433","0.060584865918148184","-1.3893161111111114","-1.3082124444444443","0.08110366666666666","3.611094321600002E-4","7.860815728100003E-4","0.0015191698746000004","0","0","0","-0.3861851116224","-0.3457819610785","0.4333896460141","3.087338595264","4.839101936565001","3.885002079586","0.588577792600886","0.495015157677042","0.6417567541140026"," Inactive"," Inactive"
"data/Filtered Data/Austin brush 1.csv","0.8329999446868896","9","-0.5655018888888889","0.6916312222222223","0.6142405555555556","1","1","1","-0.040940247024882956","0.043944486029783104","-0.0027069208565391467","-1.257133111111111","-1.1797424444444444","0.07739066666666666","5.227117240987655E-4","6.070683955061741E-4","0.0013399378526913583","0","0","0","-0.3912571956174444","-0.3474053874296667","0.42560442188433334","2.8828358825489997","4.3106473435330015","3.407682581477001","0.5102479291245836","0.44455965692361815","0.6898429264132019"," Inactive"," Inactive"
"data/Filtered Data/Austin brush 1.csv","0.9140000343322754","10","-0.6950328888888889","0.8250051111111111","0.6919513333333333","1","1","1","-0.1098812740802147","0.4274609572481019","0.3283318958141289","-1.520038","-1.3869842222222222","0.13305377777777774","0.008826349782440002","0.011570134384440003","0.009711850711560003","0","0","0","-0.46931280126329994","-0.3936849216363","0.472717295635","4.001136302586","5.628832154056","3.9753713534999986","1.4017715989330792","1.6883304326690174","1.5940928799649547"," Inactive"," Inactive"
"data/Filtered Data/Austin brush 1.csv","0.9159998893737793","12","-0.27910933333333343","0.9553682222222223","0.28581611111111105","1","1","1","1.2775410042055608","-0.24124076942720682","-1.2951277474485645","-1.2344775555555556","-0.5649254444444445","0.6695521111111111","0.2588849036428334","0.02594757252280555","0.29105967993640974","0","0","0","-0.2063744224249167","-0.3089723906719167","0.22562338533874995","3.6324574784019994","6.47228784049","4.0441293924889985","4.593231191190933","2.0675611710087543","4.773674812790418"," Inactive"," Inactive"
"data/Filtered Data/Austin brush 1.csv","0.75","10","0.49605466666666664","0.5903602222222223","-0.43034655555555557","1","0","1","1.3717685765324807","-0.9070932154824375","-1.7060357325215498","-0.09430555555555559","0.9264012222222221","1.0207067777777779","0.11567010112256","0.04042115068776","0.16007094115249","0","0","0","0.17081141599580002","-0.3016857079406","-0.1296712794323","3.149869893031999","3.2272655619340007","3.100814490340999","4.077108128743181","3.176470553832645","4.535177503175957"," Inactive"," Hand Raise"
"data/Filtered Data/Austin brush 1.csv","0.9079999923706055","10","0.9051457777777778","0.313159","-0.8073746666666667","2","1","0","0.08008340565558916","-0.14477114680565772","-0.21031349797916676","0.5919867777777778","1.7125204444444444","1.1205336666666668","0.004048114982959998","0.006237725358489999","0.005997477082959999","0","0","0","0.22564205039789997","-0.5963639348296","-0.1996267730655","6.6767210699640005","0.8567325837610003","5.339990975068001","0.982440518987675","2.003727600940066","1.1888542979480283"," Hand Raise"," Brush Teeth"
"data/Filtered Data/Austin brush 1.csv","0.9140000343322754","12","1.1259483333333336","0.1604588888888889","-1.1367435555555554","2","1","1","-0.06875742495833191","-0.15512118227254632","-0.3937974091915344","0.9654894444444443","2.262691888888889","1.2972024444444445","0.004849505580354167","0.020358525979305556","0.012259213437222216","0","0","0","0.10325596704475003","-0.7144445401394166","-0.09375711889241668","8.615571699983","0.41809493316000035","8.869365461151993","0.8986715131201853","3.6402522501297288","1.8291834592023384"," Brush Teeth"," Brush Teeth"
"data/Filtered Data/Austin brush 1.csv","0.747999906539917","10","0.9292222222222222","0.04836788888888889","-1.0488748888888888","2","1","1","-0.10876650147618272","-0.08129670092795822","-0.34020720765035567","0.8808543333333333","1.978097111111111","1.0972427777777776","0.0049028106238","0.008903180651090001","0.010176341007639996","0","0","0","0.037461702489800006","-0.7833092731697","-0.0421289969946","7.043005006238","0.10798137318299995","9.012885523663998","0.9479727794368878","4.04155928105962","1.3859676789272717"," Brush Teeth"," Brush Teeth"
"data/Filtered Data/Austin brush 1.csv","0.9149999618530273","6","0.5581309999999999","0.10218444444444445","-0.659762111111111","1","0","1","0.05011089031252407","0.25300205076333515","0.288881771319197","0.4559465555555556","1.2178931111111109","0.7619465555555556","5.562636479166664E-4","0.006104334091888889","0.0036744527571388862","0","0","0","0.12723557293983334","-0.8273711671688334","-0.15221527887233333","4.2087254595609975","0.17758842381800005","5.898408300522999","0.3599593456019584","2.2135192657092198","0.7083607021963696"," Brush Teeth"," Brush Teeth"
