Average X, Average Y, Average Z, Number of Peaks X, Number of Peaks Y, Number of Peaks Z, Average Slope X, Average Slope Y, Average Slope Z, Average XY, Average XZ, Average YZ , Activity
578.4,172.8,-606.4,5,4,4,-771.0860202,1510.041013,-717.5394148,405.6,1184.8,779.2,Combing Hair
871.2,-104.8,-522.4,4,6,5,573.7785234,-853.5378089,68.77684412,976,1393.6,417.6,Combing Hair
180.8,-668.8,-433.6,5,5,5,-1038.218856,-1253.160455,-795.2969306,849.6,614.4,-235.2,Combing Hair
594.4,-347.2,-549.6,6,4,4,-643.6223751,-419.0327487,393.5312503,941.6,1144,202.4,Combing Hair
-972.8,652,-77.6,2,8,6,503.3467173,-1145.916781,-128.5153416,-1624.8,-895.2,729.6,Lower Arm
-820.8,708,36,5,2,4,5.842217304,480.5453833,-84.21705782,-1528.8,-856.8,672,Inactive
139.2,528,-453.6,2,7,6,989.0035952,-1388.725817,101.3357242,-388.8,592.8,981.6,Raise Arm
780,-342.4,-546.4,5,5,4,207.5368861,37.88520505,961.6208958,1122.4,1326.4,204,Brush Teeth
737.6,-320,-542.4,6,5,4,-616.0592434,-7.438848778,-100.0241612,1057.6,1280,222.4,Brush Teeth
862.4,-315.2,-476,5,6,5,32.34060722,-92.055276,-818.2381737,1177.6,1338.4,160.8,Brush Teeth
757.6,20,-551.2,4,5,3,232.165089,1053.228407,493.2748736,737.6,1308.8,571.2,Brush Teeth
777.6,90.4,-595.2,5,6,4,-383.0398902,-274.0756231,-395.9676353,687.2,1372.8,685.6,Brush Teeth
851.2,-68.8,-480,4,6,3,-121.6299315,-169.5655923,-422.0071846,920,1331.2,411.2,Brush Teeth
726.4,-76,-721.6,4,4,4,39.69798233,112.4601515,-569.3281779,802.4,1448,645.6,Brush Teeth
812.8,6.4,-544.8,5,6,3,-472.9918269,-228.2828079,247.0492695,806.4,1357.6,551.2,Brush Teeth
756.8,361.6,-510.4,4,5,4,-319.4104665,-311.7443586,-427.6719413,395.2,1267.2,872,Brush Teeth
784,321.6,-473.6,4,4,2,352.1405461,265.6990485,406.5812703,462.4,1257.6,795.2,Brush Teeth
777.6,276.8,-533.6,5,5,4,-244.258945,-125.4549071,-24.22774025,500.8,1311.2,810.4,Brush Teeth
815.2,325.6,-402.4,4,5,5,273.7945516,-57.19229451,131.0388401,489.6,1217.6,728,Brush Teeth
790.4,317.6,-446.4,3,3,3,385.5409797,364.1227559,567.6032652,472.8,1236.8,764,Brush Teeth
746.4,292.8,-536,4,4,4,84.72625175,19.31717108,360.6967025,453.6,1282.4,828.8,Brush Teeth
762.4,315.2,-503.2,4,5,2,335.1345553,217.9673742,385.2909515,447.2,1265.6,818.4,Brush Teeth
787.2,284,-508,5,5,5,-25.49271893,-182.4493951,6.944736564,503.2,1295.2,792,Brush Teeth
804,276,-532.8,4,4,4,313.7242678,110.94658,-38.37684264,528,1336.8,808.8,Brush Teeth
820.8,83.2,-578.4,3,6,4,280.4060004,-175.6946255,21.71892955,737.6,1399.2,661.6,Brush Teeth
804,208.8,-463.2,4,4,5,-235.6080603,-310.57492,-888.8890198,595.2,1267.2,672,Brush Teeth
795.2,184,-548,4,4,3,-107.7075739,-75.24287407,90.47750205,611.2,1343.2,732,Brush Teeth
789.6,164,-524.8,2,4,3,10.58193512,-75.34931287,287.3714529,625.6,1314.4,688.8,Brush Teeth
800.8,156,-601.6,5,3,3,-203.4800709,165.9969756,-123.1587938,644.8,1402.4,757.6,Brush Teeth
765.6,233.6,-618.4,2,5,6,44.64795289,91.0092115,-489.8408443,532,1384,852,Brush Teeth
700,128.8,-692,4,4,4,-139.2231307,257.0285914,-439.0904769,571.2,1392,820.8,Brush Teeth
630.4,191.2,-700,4,6,4,-98.48849251,-454.815587,469.8077601,439.2,1330.4,891.2,Brush Teeth
661.6,124.8,-776,4,6,5,-73.02821806,-493.4169979,259.0187585,536.8,1437.6,900.8,Brush Teeth
685.7142857,115.4285714,-804.5714286,3,3,4,-20.2264232,39.05318506,-128.1677455,570.2857143,1490.285714,920,Brush Teeth
-843.2,770.4,51.2,4,3,5,350.0139709,537.2461247,-232.5690462,-1613.6,-894.4,719.2,Inactive
311.2,371.2,-648,1,7,6,768.8296817,-1252.460971,-498.2387854,-60,959.2,1019.2,Raise Arm
760,147.2,-543.2,5,6,5,-665.5097744,-1626.936428,-1575.118094,612.8,1303.2,690.4,Brush Teeth
835.2,-264,-490.4,6,5,4,-559.0302112,-1695.513923,948.0503326,1099.2,1325.6,226.4,Brush Teeth
814.4,-376.8,-433.6,5,5,4,-504.7453494,-766.1627227,707.3005627,1191.2,1248,56.8,Brush Teeth
726.4,-58.4,-583.2,5,5,4,-617.070602,87.71855528,127.6201099,784.8,1309.6,524.8,Brush Teeth
765.6,61.6,-620.8,4,5,5,-23.93958652,-82.88899863,-368.6695281,704,1386.4,682.4,Brush Teeth
774.4,-178.4,-553.6,6,4,4,47.08740937,-777.814148,810.0908193,952.8,1328,375.2,Brush Teeth
765.6,-309.6,-468.8,5,5,5,56.84416709,-189.3767729,8.561339272,1075.2,1234.4,159.2,Brush Teeth
778.4,-171.2,-542.4,5,3,5,-810.3537688,-517.6295118,-1049.524129,949.6,1320.8,371.2,Brush Teeth
850.4,-224,-563.2,4,5,4,-151.8303417,-163.9155863,386.5056576,1074.4,1413.6,339.2,Brush Teeth
757.6,-193.6,-678.4,4,4,4,-16.03981101,285.038669,20.22847818,951.2,1436,484.8,Brush Teeth
717.6,-198.4,-721.6,3,4,5,79.31977112,339.8612579,-360.2967211,916,1439.2,523.2,Brush Teeth
630.4,-218.4,-653.6,6,3,6,-224.9005481,214.1894366,-257.030068,848.8,1284,435.2,Brush Teeth
331.2,893.6,-550.4,7,1,4,-449.1458482,1362.980369,117.9351936,-562.4,881.6,1444,Brush Teeth
536,343.2,-679.2,3,6,5,200.1061038,-726.277864,731.6208049,192.8,1215.2,1022.4,Brush Teeth
797.6,193.6,-581.6,3,3,4,436.7295581,559.8893065,892.8583324,604,1379.2,775.2,Brush Teeth
766.4,172,-560,5,5,3,358.38405,207.94067,498.2454334,594.4,1326.4,732,Brush Teeth
753.6,65.6,-646.4,3,3,3,30.11280313,205.3587429,104.5590941,688,1400,712,Brush Teeth
816,101.6,-565.6,5,5,3,-170.7580701,-202.8010261,-415.3161782,714.4,1381.6,667.2,Brush Teeth
791.2,73.6,-608,5,4,4,89.62499404,107.2469737,-218.5932869,717.6,1399.2,681.6,Brush Teeth
746.4,45.6,-631.2,4,5,3,-59.74893107,19.33411929,80.78011271,700.8,1377.6,676.8,Brush Teeth
780.8,95.2,-640,5,5,5,-162.9402047,-229.3872128,-106.6191955,685.6,1420.8,735.2,Brush Teeth
784.8,49.6,-597.6,3,4,4,-26.28826225,-118.5010452,260.3641676,735.2,1382.4,647.2,Brush Teeth
801.6,52,-655.2,4,4,5,20.92605102,201.6955559,-226.5624359,749.6,1456.8,707.2,Brush Teeth
744,73.6,-688.8,5,5,4,-93.79072967,132.2858827,-102.9780261,670.4,1432.8,762.4,Brush Teeth
719.2,92,-678.4,6,4,5,-166.7278538,660.4416646,-724.0516673,627.2,1397.6,770.4,Brush Teeth
718.4,100.8,-694.4,3,5,4,1.665963024,243.6472408,-423.1758705,617.6,1412.8,795.2,Brush Teeth
722.4,83.2,-716.8,5,4,5,-26.72590758,256.891926,-644.247603,639.2,1439.2,800,Brush Teeth
716,-7.2,-696.8,4,5,4,3.102180795,-6.89636128,-42.49413542,723.2,1412.8,689.6,Brush Teeth
740.8,-42.4,-674.4,3,5,4,38.69970218,-379.6461974,362.2999253,783.2,1415.2,632,Brush Teeth
703.2,-30.4,-748.8,5,4,4,-62.08980832,-340.1534012,138.8395668,733.6,1452,718.4,Brush Teeth
668.8,-21.6,-768.8,4,4,4,-44.71128005,514.6632821,-550.9682346,690.4,1437.6,747.2,Brush Teeth
671.2,-44.8,-731.2,4,6,5,-40.52180236,174.2654387,-255.6994912,716,1402.4,686.4,Brush Teeth
700.8,3.2,-788.8,3,4,5,54.22358598,37.918421,-120.5186108,697.6,1489.6,792,Brush Teeth
690.4,-19.2,-734.4,4,3,5,32.0083469,204.6748008,-10.60400318,709.6,1424.8,715.2,Brush Teeth
681.6,12.8,-772.8,4,6,3,-67.18945196,-241.2191559,402.1170789,668.8,1454.4,785.6,Brush Teeth
686.4,61.6,-767.2,5,6,3,15.09865923,61.92444243,229.6589651,624.8,1453.6,828.8,Brush Teeth
669.6,127.2,-750.4,5,3,4,53.55008451,384.9435864,-307.1443575,542.4,1420,877.6,Brush Teeth
670.4,114.4,-728,4,4,4,-43.47563856,-91.79617997,156.3084197,556,1398.4,842.4,Brush Teeth
630.4,133.6,-783.2,7,3,5,-233.5688942,2.550242008,306.1122579,496.8,1413.6,916.8,Brush Teeth
770.4,276,-517.6,5,3,4,-339.5365395,202.6573647,-758.6588629,494.4,1288,793.6,Brush Teeth
804.8,322.4,-440,3,4,4,396.2528612,128.7700653,424.0455303,482.4,1244.8,762.4,Brush Teeth
784.8,321.6,-511.2,3,4,4,-100.7456597,178.92506,-253.4320083,463.2,1296,832.8,Brush Teeth
257.6,761.6,-193.6,7,3,1,-1175.207913,1190.857153,682.0888322,-504,451.2,955.2,Brush Teeth
77.6,848,-372,0,8,7,1195.433814,-1816.899638,-711.682191,-770.4,449.6,1220,Brush Teeth
743.2,-216.8,-608,6,6,4,171.3520353,-192.7718281,-64.25657872,960,1351.2,391.2,Brush Teeth
795.2,-262.4,-601.6,5,6,4,-112.9455045,-216.5164252,467.7833606,1057.6,1396.8,339.2,Brush Teeth
769.6,-260.8,-552.8,5,5,5,-320.7995832,-92.32206849,531.0904562,1030.4,1322.4,292,Brush Teeth
793.6,-277.6,-592,5,6,4,13.81843658,-7.021069563,67.52617974,1071.2,1385.6,314.4,Brush Teeth
756.8,-348.8,-562.4,5,5,3,-41.68420593,-147.3675057,-5.665461786,1105.6,1319.2,213.6,Brush Teeth
759.2,-385.6,-569.6,5,6,2,-84.52872831,-61.70755268,31.23617024,1144.8,1328.8,184,Brush Teeth
731.2,-351.2,-616,3,4,4,85.67557161,139.2239921,-21.41954662,1082.4,1347.2,264.8,Brush Teeth
702.4,215.2,-441.6,4,2,4,-95.96888278,1362.485796,423.9334621,487.2,1144,656.8,Brush Teeth
703.2,594.4,-307.2,5,4,6,-254.5726179,-64.47841494,-406.5309606,108.8,1010.4,901.6,Brush Teeth
758.4,568.8,-296,5,6,4,13.4427189,-53.51523926,-246.3195718,189.6,1054.4,864.8,Brush Teeth
756,500.8,-397.6,5,4,4,1.796823667,-153.7098656,-284.7515758,255.2,1153.6,898.4,Brush Teeth
484.8,620,-204.8,7,2,3,-1006.693896,792.5030596,423.0256324,-135.2,689.6,824.8,Lower Arm
-522.4,1031.2,192,7,5,5,-481.6730324,-44.62313671,-321.2857546,-1553.6,-714.4,839.2,Lower Arm
-593.6,809.6,-28.8,2,5,5,-140.5368823,-174.3902886,-237.3316392,-1403.2,-564.8,838.4,Inactive
-524,865.6,-8.8,4,6,4,-32.25491241,-160.2597011,577.6753242,-1389.6,-515.2,874.4,Inactive
-586.4,805.6,-23.2,6,7,7,-340.1803249,-462.2706009,-538.3595578,-1392,-563.2,828.8,Inactive
-518,764,-742,3,2,3,369.5860271,-752.6188665,-885.0701387,-1282,224,1506,Inactive
817.6,-160.8,-482.4,6,6,4,-493.9593896,-596.6036885,272.5370075,978.4,1300,321.6,Combing Hair
778.4,-103.2,-639.2,6,5,4,-879.5758445,-294.6938419,-121.0699574,881.6,1417.6,536,Combing Hair
551.2,231.2,-580.8,3,5,5,-289.4017221,1641.216297,-596.1628812,320,1132,812,Combing Hair
675.2,166.4,-444,4,4,3,153.5917328,-1210.693804,1137.207905,508.8,1119.2,610.4,Combing Hair
-713.6,601.6,-508,4,5,3,-1361.637015,-64.51363945,-12.74938549,-1315.2,-205.6,1109.6,Combing Hair
-825.6,459.2,-385.6,5,3,3,-338.0152621,-80.68271138,76.62503831,-1284.8,-440,844.8,Combing Hair
82.4,792.8,-630.4,2,3,4,21.41896212,-32.12844318,10.70991174,-710.4,712.8,1423.2,Drawing
91.2,812,-654.4,4,5,3,22.43329612,-84.77593832,-173.853041,-720.8,745.6,1466.4,Drawing
96,836,-599.2,4,6,5,9.816813296,-100.4651798,-111.5574525,-740,695.2,1435.2,Drawing
88,822.4,-594.4,4,6,4,-11.111214,-57.96443724,-113.5197997,-734.4,682.4,1416.8,Drawing
93.6,848.8,-599.2,5,4,5,58.73776624,96.64194879,386.5015556,-755.2,692.8,1448,Drawing
96.8,845.6,-549.6,4,4,4,32.12868928,29.29636285,202.4949075,-748.8,646.4,1395.2,Drawing
160,840,-534.4,3,5,4,305.2211715,80.32159246,444.4447791,-680,694.4,1374.4,Drawing
124.8,833.6,-540.8,5,3,7,-201.4450184,51.30572362,-352.9598638,-708.8,665.6,1374.4,Drawing
122.4,867.2,-556,4,5,4,-42.595015,159.8568795,-17.30187686,-744.8,678.4,1423.2,Drawing
57.6,877.6,-564.8,4,4,4,-64.25694788,96.38557564,117.8055222,-820,622.4,1442.4,Drawing
65.6,862.4,-602.4,3,4,4,84.7838575,180.0208429,579.4591428,-796.8,668,1464.8,Drawing
102.4,856,-483.2,3,4,5,-96.86824972,-32.3007081,-693.6443808,-753.6,585.6,1339.2,Drawing
67.2,899.2,-477.6,5,5,3,-114.100759,-212.3142966,502.4214375,-832,544.8,1376.8,Drawing
94.4,878.4,-565.6,5,4,3,108.51626,214.4606625,511.0138542,-784,660,1444,Drawing
105.6,896.8,-452,5,4,4,13.38691093,123.1597051,-281.1228684,-791.2,557.6,1348.8,Drawing
110.4,907.2,-420.8,5,5,4,3.023084675,19.41341606,276.7400443,-796.8,531.2,1328,Drawing
42,716,-598,4,4,4,126.8026334,94.78852305,-429.0476218,-674,640,1314,Drawing
128.8,852,-580,6,4,3,-1.567852944,373.1803558,447.1531529,-723.2,708.8,1432,Drawing
114.4,857.6,-583.2,4,5,5,-3.488657959,27.09735244,-261.2944742,-743.2,697.6,1440.8,Drawing
103.2,860.8,-541.6,4,4,5,-12.69072255,109.33571,-557.9726095,-757.6,644.8,1402.4,Drawing
99.2,847.2,-504.8,4,4,4,116.1823311,-105.1680557,-63.56335522,-748,604,1352,Drawing
120,828.8,-516,3,4,4,-21.41926975,514.0571212,117.8060144,-708.8,636,1344.8,Drawing
105.6,829.6,-514.4,3,5,5,151.3589881,28.33943122,-406.0776187,-724,620,1344,Drawing
124,876.8,-500,6,4,3,-3.08E-04,-396.2527065,0.001138236,-752.8,624,1376.8,Drawing
164,933.6,-294.4,4,5,3,123.2650107,-270.1515784,103.4251267,-769.6,458.4,1228,Drawing
99.2,813.6,-580.8,5,5,4,-355.9017082,2.515085953,-469.4413174,-714.4,680,1394.4,Drawing
72,774.4,-713.6,3,4,5,8.441817872,-6.662734958,-21.30071028,-702.4,785.6,1488,Drawing
54.4,773.6,-638.4,3,3,4,86.63582844,51.3570751,111.7752106,-719.2,692.8,1412,Drawing
64.8,816,-596.8,4,4,4,-30.2426525,158.2624148,-136.5752544,-751.2,661.6,1412.8,Drawing
81.6,804.8,-548.8,4,4,3,-103.6234008,116.0160319,-490.8618124,-723.2,630.4,1353.6,Drawing
89.6,833.6,-531.2,3,5,3,47.05976907,-100.1395727,243.1139878,-744,620.8,1364.8,Drawing
79.2,825.6,-596.8,4,4,3,-58.20093891,-23.45887966,-101.6119321,-746.4,676,1422.4,Drawing
99.2,856.8,-532.8,5,5,4,-107.0949644,-10.71037319,-653.2771756,-757.6,632,1389.6,Drawing
161.7777778,678.2222222,-674.6666667,6,7,6,-200.5418073,-745.8576546,-397.7944258,-516.4444444,836.4444444,1352.888889,Drawing
341.6,-14.4,-987.2,5,2,4,-54.58289379,32.00415949,84.39170177,356,1328.8,972.8,Scratch Chin
316.8,108.8,-992.8,5,4,4,-48.09621328,-257.657087,342.4105774,208,1309.6,1101.6,Scratch Chin
477.6,-224.8,-893.6,4,5,5,257.0280069,74.96744413,32.12911997,702.4,1371.2,668.8,Scratch Chin
377.6,-162.4,-871.2,7,5,5,-503.9092128,336.5806593,-153.6821504,540,1248.8,708.8,Scratch Chin
-179.2,345.6,-1252.8,3,3,3,117.8174335,-100.6897368,324.6619539,-524.8,1073.6,1598.4,Lower Arm
259.2,-24.8,-919.2,4,5,6,529.3369595,-261.4691999,24.42430572,284,1178.4,894.4,Raise Arm
555.2,-188.8,-833.6,4,2,5,77.23425113,-36.56828076,71.05992993,744,1388.8,644.8,Scratch Chin
332,-291.2,-827.2,7,5,5,-890.1643254,-43.85801489,-475.9367048,623.2,1159.2,536,Lower Arm
-288,312,-1306,2,3,2,168.9723197,-623.5315894,1583.8179,-600,1018,1618,Inactive
503.2,-106.4,-910.4,4,5,5,-138.8900137,-63.27466511,-45.11502431,609.6,1413.6,804,Brush Teeth
646.4,121.6,-699.2,3,3,2,820.6322972,853.9995988,1101.313409,524.8,1345.6,820.8,Brush Teeth
721.6,422.4,-477.6,4,4,4,554.7313619,748.0639637,1282.810117,299.2,1199.2,900,Brush Teeth
758.4,260,-578.4,4,5,5,-53.54937414,-1113.790614,-257.0301295,498.4,1336.8,838.4,Brush Teeth
611.2,-79.2,-801.6,6,4,5,-199.8776834,128.2594508,-521.2888762,690.4,1412.8,722.4,Brush Teeth
493.6,149.6,-856,4,3,3,-296.5613998,795.7820465,52.05196621,344,1349.6,1005.6,Brush Teeth
511.2,634.4,-545.6,6,4,3,-697.5377128,218.9489107,-750.2839052,-123.2,1056.8,1180,Brush Teeth
462.4,665.6,-540.8,6,7,5,-457.19388,-337.7321679,-782.5585004,-203.2,1003.2,1206.4,Brush Teeth
500.8,748.8,-486.4,3,5,6,-184.7803921,49.02724085,-171.49711,-248,987.2,1235.2,Brush Teeth
500,763.2,-408,6,6,4,-301.8464865,39.92999725,-133.2678147,-263.2,908,1171.2,Brush Teeth
607.2,654.4,-413.6,5,5,4,-320.8613193,-292.2306689,-5.647636353,-47.2,1020.8,1068,Brush Teeth
582.4,164,-856,6,5,5,-328.2988527,-83.40649301,-538.4736676,418.4,1438.4,1020,Brush Teeth
400.8,471.2,-717.6,6,5,3,-519.4090085,331.9961739,289.155158,-70.4,1118.4,1188.8,Brush Teeth
496,795.2,-400.8,5,6,5,-318.1125303,-186.6928292,-142.8330845,-299.2,896.8,1196,Brush Teeth
500.8,870.4,-278.4,4,5,3,117.8037072,182.0615779,546.1826419,-369.6,779.2,1148.8,Brush Teeth
508,744,-520,1,1,1,64.25702308,-160.6427389,239.1791361,-236,1028,1264,Brush Teeth
-453.6,318.4,-555.2,4,3,4,577.6917654,167.2113648,-105.9510499,-772,101.6,873.6,Raise Arm
776.8,-240.8,-431.2,6,5,2,113.4267508,-478.1810174,194.520531,1017.6,1208,190.4,Brush Teeth
896.8,-32.8,-394.4,5,4,6,182.0627162,396.2545523,396.2503685,929.6,1291.2,361.6,Brush Teeth
902.4,120.8,-286.4,5,4,4,155.9184198,380.3991891,310.5909599,781.6,1188.8,407.2,Brush Teeth
881.6,-25.6,-324,4,5,4,453.5886408,400.852524,152.6505765,907.2,1205.6,298.4,Brush Teeth
857.6,-187.2,-240.8,6,6,4,128.8379006,-406.3353459,927.7848735,1044.8,1098.4,53.6,Brush Teeth
940.8,-179.2,-238.4,5,5,6,-372.0565251,-200.0513587,-1217.288196,1120,1179.2,59.2,Brush Teeth
869.6,14.4,-394.4,4,4,4,-49.35746323,-31.00463555,-297.5604407,855.2,1264,408.8,Brush Teeth
860.8,18.4,-326.4,5,5,5,-151.5551303,-951.5191307,345.5975778,842.4,1187.2,344.8,Brush Teeth
872,94.4,-366.4,4,4,3,298.9312769,-98.9380898,1376.909951,777.6,1238.4,460.8,Brush Teeth
837.6,-12,-355.2,4,4,4,614.3599044,1454.418797,1265.10681,849.6,1192.8,343.2,Brush Teeth
829.6,-264.8,-343.2,5,5,4,173.6446226,207.2982855,-10.58572851,1094.4,1172.8,78.4,Brush Teeth
827.2,-4.8,-322.4,5,5,6,-456.2784346,-300.6967485,-1203.811188,832,1149.6,317.6,Brush Teeth
872,79.2,-412,5,5,4,-242.2133359,-317.0945834,-651.6099399,792.8,1284,491.2,Brush Teeth
897.6,-324,-142.4,4,6,4,-364.1222791,-942.4351484,1590.370558,1221.6,1040,-181.6,Brush Teeth
900.8,-157.6,-116,4,4,5,56.22139518,751.8539965,-282.0538149,1058.4,1016.8,-41.6,Brush Teeth
855.2,-121.6,-412.8,6,6,4,-188.0681176,77.74478056,23.60100037,976.8,1268,291.2,Brush Teeth
848,-92.8,-265.6,4,5,4,-143.250077,-202.4554437,-534.2339679,940.8,1113.6,172.8,Brush Teeth
890.4,-34.4,-286.4,5,4,5,-53.54635935,117.8119517,-481.9256325,924.8,1176.8,252,Brush Teeth
868.8,-154.4,-338.4,6,5,5,20.87569748,-284.9435914,72.750711,1023.2,1207.2,184,Brush Teeth
862.4,-24,-343.2,4,5,4,-118.8632201,359.8452901,81.30860447,886.4,1205.6,319.2,Brush Teeth
900,7.2,-357.6,5,5,6,275.2551475,589.1681942,360.3093575,892.8,1257.6,364.8,Brush Teeth
854.4,-210.4,-234.4,5,4,5,-373.3795407,-287.6233724,-1119.294069,1064.8,1088.8,24,Brush Teeth
828.8,12,-411.2,4,4,5,-67.44068613,64.53412302,430.1467652,816.8,1240,423.2,Brush Teeth
761.6,34.4,-453.6,5,4,5,-504.3936133,-579.8103264,-855.5466525,727.2,1215.2,488,Brush Teeth
-419,514,-701,7,4,3,-2156.374878,65.23189223,346.9917299,-933,282,1215,Lower Arm
-153.6,334.4,-775.2,1,4,3,1433.3988,100.6219436,85.30496787,-488,621.6,1109.6,Raise Arm
863.2,-107.2,-444.8,5,5,4,-156.4299874,-477.6876292,234.9054689,970.4,1308,337.6,Brush Teeth
875.2,32.8,-462.4,6,4,4,-79.86417267,-750.9059527,-177.9015989,842.4,1337.6,495.2,Brush Teeth
813.6,116,-638.4,5,5,4,24.1479767,-585.3759071,-302.2483697,697.6,1452,754.4,Brush Teeth
776,165.6,-480.8,5,5,4,-606.0770032,-1564.461398,-933.6078316,610.4,1256.8,646.4,Brush Teeth
871.2,164,-293.6,4,5,4,-642.5702813,-1727.162619,-858.9277748,707.2,1164.8,457.6,Brush Teeth
880,143.2,-356,5,5,4,-114.9996813,-308.7907184,-431.1850577,736.8,1236,499.2,Brush Teeth
848.8,-86.4,-423.2,4,4,4,356.0542548,1143.375952,500.9861627,935.2,1272,336.8,Brush Teeth
873.6,140,-255.2,4,4,5,389.4820474,1023.354743,445.5359183,733.6,1128.8,395.2,Brush Teeth
846.4,88.8,-405.6,5,5,5,89.88334304,424.6828588,517.4985659,757.6,1252,494.4,Brush Teeth
832.8,-104.8,-460,4,5,5,-521.4089441,-361.8844637,-98.48332357,937.6,1292.8,355.2,Brush Teeth
860.8,-217.6,-444,5,5,5,-163.4474405,99.44540075,-1140.817237,1078.4,1304.8,226.4,Brush Teeth
887.2,12.8,-370.4,4,5,5,42.8380187,64.25702811,-235.6091032,874.4,1257.6,383.2,Brush Teeth
889.6,-152.8,-324,4,4,5,-56.58561468,-307.3602968,61.57654203,1042.4,1213.6,171.2,Brush Teeth
871.2,-359.2,-262.4,5,2,4,-374.9601581,229.8718685,-2470.835724,1230.4,1133.6,-96.8,Brush Teeth
905.6,-204.8,-235.2,3,6,4,205.2470197,767.2888374,512.764072,1110.4,1140.8,30.4,Brush Teeth
904,-164.8,-270.4,5,5,4,-44.21868652,-551.0295145,-147.1126471,1068.8,1174.4,105.6,Brush Teeth
891.2,-141.6,-329.6,4,5,5,-15.8213925,477.099478,-561.494254,1032.8,1220.8,188,Brush Teeth
874.4,-25.6,-292,4,5,5,180.3692241,1137.399098,230.4482543,900,1166.4,266.4,Brush Teeth
820.8,193.6,-392,5,5,5,-647.415057,-1037.674507,-748.2628928,627.2,1212.8,585.6,Brush Teeth
870.4,142.4,-354.4,6,6,5,-471.2182062,-1499.330656,-910.3078983,728,1224.8,496.8,Brush Teeth
836.8,88,-428.8,5,4,5,-899.6971969,-2528.598686,-1043.352809,748.8,1265.6,516.8,Brush Teeth
849.6,59.2,-400.8,5,5,4,-214.1900937,-931.7269076,-589.0227577,790.4,1250.4,460,Brush Teeth
860,76.8,-443.2,4,4,6,39.65873827,-516.3450458,-467.9979993,783.2,1303.2,520,Brush Teeth
844,-16.8,-459.2,5,4,6,-40.40990881,-569.9043085,-184.2128135,860.8,1303.2,442.4,Brush Teeth
845.6,23.2,-408,4,4,5,53.76193718,-146.6495676,77.78176943,822.4,1253.6,431.2,Brush Teeth
839.2,-118.4,-350.4,4,5,5,93.38766706,-171.6785064,336.58968,957.6,1189.6,232,Brush Teeth
836,-203.2,-425.6,4,4,4,-261.4991987,-805.2202622,32.50832036,1039.2,1261.6,222.4,Brush Teeth
774.4,-188.8,-531.2,5,5,5,-647.9039979,-1936.256009,-819.8216992,963.2,1305.6,342.4,Brush Teeth
872.8,-127.2,-360,4,5,4,57.62733475,426.4677759,362.5932301,1000,1232.8,232.8,Brush Teeth
799.2,-90.4,-408,4,4,6,85.67603757,358.7684072,182.0615798,889.6,1207.2,317.6,Brush Teeth
847.2,-25.6,-513.6,4,4,5,35.57085482,-504.366673,-380.9523808,872.8,1360.8,488,Brush Teeth
836,149.6,-472.8,5,5,4,-326.3296704,-731.331367,-987.5033313,686.4,1308.8,622.4,Brush Teeth
806.4,-234.4,-428.8,5,5,4,-31.51592039,-304.3470823,43.87041015,1040.8,1235.2,194.4,Brush Teeth
824.8,-52.8,-451.2,5,5,4,53.80251173,290.6865561,38.50321938,877.6,1276,398.4,Brush Teeth
807.2,-70.4,-460,4,4,5,678.6511123,2508.573978,991.0116656,877.6,1267.2,389.6,Brush Teeth
830.4,17.6,-464.8,4,4,4,139.2235609,1092.369478,492.6372156,812.8,1295.2,482.4,Brush Teeth
808,136.8,-449.6,5,5,5,-285.2043093,141.6459489,-280.2320392,671.2,1257.6,586.4,Brush Teeth
848,186.4,-461.6,4,5,4,396.1209998,896.1134698,-94.16609866,661.6,1309.6,648,Brush Teeth
726.4,295.2,-469.6,3,3,5,135.1068511,667.611502,-149.7785029,431.2,1196,764.8,Brush Teeth
42.4,716,-323.2,9,4,3,-2785.579681,-665.0439447,-429.1089135,-673.6,365.6,1039.2,Lower Arm
-860.5714286,577.1428571,-185.1428571,4,3,3,48.45871181,-65.22016478,-22.66964952,-1437.714286,-675.4285714,762.2857143,Inactive
407.2,548.8,-197.6,2,6,6,1790.063976,-919.9891727,-1096.666607,-141.6,604.8,746.4,Raise Arm
755.2,46.4,-381.6,7,3,6,-490.7724899,809.2263225,-286.39836,708.8,1136.8,428,Scratch Chin
-749.3333333,757.3333333,7.111111111,5,4,4,-1435.988389,-58.58618323,43.26175256,-1506.666667,-756.4444444,750.2222222,Lower Arm
252.8,445.6,-272,2,6,4,1601.070279,-1242.302641,123.1588015,-192.8,524.8,717.6,Raise Arm
953.6,20,-299.2,4,5,4,-64.0434097,281.2191152,86.79901985,933.6,1252.8,319.2,Scratch Chin
20,543.2,-90.4,6,3,6,-2010.825964,625.4216533,-402.4798405,-523.2,110.4,633.6,Lower Arm
-830,624,52,1,0,1,61.16908581,344.4272321,109.7597227,-1454,-882,572,Inactive
-865.6,680.8,87.2,4,1,5,622.158928,1063.950597,139.2561094,-1546.4,-952.8,593.6,Inactive
546.4,476,-225.6,3,8,5,854.7178378,-2035.495797,-695.7732081,70.4,772,701.6,Raise Arm
781.6,-469.6,-432.8,3,5,4,-276.5347028,-628.163565,-859.5665258,1251.2,1214.4,-36.8,Combing Hair
699.2,-454.4,-214.4,4,5,5,342.7056704,831.005683,776.5702409,1153.6,913.6,-240,Combing Hair
